ds,y
2016-05-14 ,0.554973822
2016-05-15 ,0.5729244577
2016-05-16 ,2.086761406
2016-05-17 ,2.339566193
2016-05-18 ,2.110695587
2016-05-19 ,1.841436051
2016-05-20 ,1.587883321
2016-05-21 ,0.5385190726
2016-05-22 ,0.5654450262
2016-05-23 ,2.11368736
2016-05-24 ,1.722513089
2016-05-25 ,2.157816006
2016-05-26 ,1.73448018
2016-05-27 ,1.276738968
2016-05-28 ,0.4158563949
2016-05-29 ,0.363500374
2016-05-30 ,0.6312640239
2016-05-31 ,1.94540015
2016-06-01 ,1.925953628
2016-06-02 ,1.997008227
2016-06-03 ,1.554973822
2016-06-04 ,0.5205684368
2016-06-05 ,0.5751682872
2016-06-06 ,2.020194465
2016-06-07 ,2.061331339
2016-06-08 ,1.913238594
2016-06-09 ,1.889304413
2016-06-10 ,1.476439791
2016-06-11 ,0.5325355273
2016-06-12 ,0.4943904263
2016-06-13 ,1.930441286
2016-06-14 ,2.027673897
2016-06-15 ,1.906507105
2016-06-16 ,1.929693343
2016-06-17 ,1.426327599
2016-06-18 ,0.4540014959
2016-06-19 ,0.3949139865
2016-06-20 ,1.94315632
2016-06-21 ,2.118922962
2016-06-22 ,1.997008227
2016-06-23 ,1.842931937
2016-06-24 ,1.459985041
2016-06-25 ,0.4682124159
2016-06-26 ,0.4958863126
2016-06-27 ,1.87434555
2016-06-28 ,2.047868362
2016-06-29 ,1.916230366
2016-06-30 ,1.713537771
2016-07-01 ,1.231862378
2016-07-02 ,0.4472700075
2016-07-03 ,0.3507853403
2016-07-04 ,0.4427823485
2016-07-05 ,1.940912491
2016-07-06 ,2.193717277
2016-07-07 ,1.912490651
2016-07-08 ,1.597606582
2016-07-09 ,0.5325355273
2016-07-10 ,0.5512341062
2016-07-11 ,2.096484667
2016-07-12 ,2.153328347
2016-07-13 ,2.047868362
2016-07-14 ,1.91697831
2016-07-15 ,1.602842184
2016-07-16 ,0.5504861631
2016-07-17 ,0.5998504114
2016-07-18 ,2.147344802
2016-07-19 ,2.29394166
2016-07-20 ,2.106955871
2016-07-21 ,2.007479432
2016-07-22 ,1.694091249
2016-07-23 ,0.5706806283
2016-07-24 ,0.5968586387
2016-07-25 ,2.160807779
2016-07-26 ,2.33881825
2016-07-27 ,2.198204936
2016-07-28 ,2.002991773
2016-07-29 ,1.548242334
2016-07-30 ,0.588631264
2016-07-31 ,0.617053104
2016-08-01 ,2.190725505
2016-08-02 ,2.155572177
2016-08-03 ,2.350037397
2016-08-04 ,2.106207928
2016-08-05 ,1.649962603
2016-08-06 ,0.6133133882
2016-08-07 ,0.5699326851
2016-08-08 ,2.171278983
2016-08-09 ,2.367988033
2016-08-10 ,2.273747195
2016-08-11 ,2.171278983
2016-08-12 ,1.835452506
2016-08-13 ,0.6095736724
2016-08-14 ,0.6305160808
2016-08-15 ,2.299925206
2016-08-16 ,2.335826477
2016-08-17 ,2.272251309
2016-08-18 ,2.06881077
2016-08-19 ,1.771129394
2016-08-20 ,0.6634255797
2016-08-21 ,0.7000747943
2016-08-22 ,2.329842932
2016-08-23 ,2.305908751
2016-08-24 ,2.26551982
2016-08-25 ,2.079281975
2016-08-26 ,1.724008975
2016-08-27 ,0.6559461481
2016-08-28 ,0.6402393418
2016-08-29 ,2.195213164
2016-08-30 ,2.314136126
2016-08-31 ,2.093492895
2016-09-01 ,1.961106956
2016-09-02 ,1.51907255
2016-09-03 ,0.5437546746
2016-09-04 ,0.4794315632
2016-09-05 ,0.76065819
2016-09-06 ,2.100972326
2016-09-07 ,2.259536275
2016-09-08 ,2.044128646
2016-09-09 ,1.841436051
2016-09-10 ,0.6035901272
2016-09-11 ,0.5968586387
2016-09-12 ,2.077786088
2016-09-13 ,2.298429319
2016-09-14 ,2.071802543
2016-09-15 ,1.926701571
2016-09-16 ,1.609573672
2016-09-17 ,0.5938668661
2016-09-18 ,0.5759162304
2016-09-19 ,2.103964099
2016-09-20 ,2.287210172
2016-09-21 ,2.077786088
2016-09-22 ,1.949887809
2016-09-23 ,1.615557218
2016-09-24 ,0.5302916978
2016-09-25 ,0.5923709798
2016-09-26 ,2.096484667
2016-09-27 ,2.160059835
2016-09-28 ,2.089753179
2016-09-29 ,1.934928945
2016-09-30 ,1.49289454
2016-10-01 ,0.497382199
2016-10-02 ,0.5078534031
2016-10-03 ,1.918474196
2016-10-04 ,2.065071055
2016-10-05 ,1.848167539
2016-10-06 ,1.763649963
2016-10-07 ,1.474195961
2016-10-08 ,0.5078534031
2016-10-09 ,0.4936424832
2016-10-10 ,1.891548242
2016-10-11 ,2.020194465
2016-10-12 ,1.816005984
2016-10-13 ,1.851907255
2016-10-14 ,1.490650711
2016-10-15 ,0.4921465969
2016-10-16 ,0.5280478684
2016-10-17 ,2.103216156
2016-10-18 ,2.200448766
2016-10-19 ,1.991772625
2016-10-20 ,1.799551234
2016-10-21 ,1.250560957
2016-10-22 ,0.5175766642
2016-10-23 ,0.5295437547
2016-10-24 ,2.027673897
2016-10-25 ,2.096484667
2016-10-26 ,1.980553478
2016-10-27 ,1.786088257
2016-10-28 ,1.473448018
2016-10-29 ,0.4525056096
2016-10-30 ,0.4846671653
2016-10-31 ,1.710545999
2016-11-01 ,2.026925954
2016-11-02 ,2.014958863
2016-11-03 ,1.845175767
2016-11-04 ,1.503365744
2016-11-05 ,0.5130890052
2016-11-06 ,0.5145848915
2016-11-07 ,1.950635752
2016-11-08 ,1.818997756
2016-11-09 ,1.73223635
2016-11-10 ,1.685863874
2016-11-11 ,1.426327599
2016-11-12 ,0.4906507105
2016-11-13 ,0.4913986537
